Date,Time,South Brisbane (South East Queensland)  (ppm),Woolloongabba (South East Queensland)  (ppm)
1/1/2022,0:00,0.14,0.14
1/1/2022,1:00,0.17,0.12
1/1/2022,2:00,0.13,0.09
1/1/2022,3:00,0.09,0.07
1/1/2022,4:00,0.08,0.07
1/1/2022,5:00,0.07,0.06
1/1/2022,6:00,0.08,0.07
1/1/2022,7:00,0.06,0.08
1/1/2022,8:00,0.09,0.1
1/1/2022,9:00,0.1,0.1
1/1/2022,10:00,0.09,0.08
1/1/2022,11:00,0.12,0.12
1/1/2022,12:00,0.16,0.09
1/1/2022,13:00,0.15,0.11
1/1/2022,14:00,0.13,0.11
1/1/2022,15:00,0.07,0.13
1/1/2022,16:00,0.13,0.15
1/1/2022,17:00,0.1,0.19
1/1/2022,18:00,0.15,0.19
1/1/2022,19:00,0.22,0.13
1/1/2022,20:00,0.24,0.11
1/1/2022,21:00,0.19,0.13
1/1/2022,22:00,0.13,0.09
1/1/2022,23:00,0.13,0.08
2/1/2022,0:00,0.11,0.06
2/1/2022,1:00,0.07,0.06
2/1/2022,2:00,0.06,0.05
2/1/2022,3:00,0.06,0.04
2/1/2022,4:00,0.09,0.04
2/1/2022,5:00,0.09,0.04
2/1/2022,6:00,0.08,0.04
2/1/2022,7:00,0.06,0.05
2/1/2022,8:00,0.07,0.04
2/1/2022,9:00,0.11,0.04
2/1/2022,10:00,0.11,0.04
2/1/2022,11:00,0.1,0.14
2/1/2022,12:00,0.08,0.14
2/1/2022,13:00,0.07,0.14
2/1/2022,14:00,0.11,0.1
2/1/2022,15:00,0.14,0.11
2/1/2022,16:00,0.08,0.19
2/1/2022,17:00,0.11,0.21
2/1/2022,18:00,0.13,0.24
2/1/2022,19:00,0.25,0.1
2/1/2022,20:00,0.2,0.05
2/1/2022,21:00,0.16,0.06
2/1/2022,22:00,0.09,0.07
2/1/2022,23:00,0.06,0.01
3/1/2022,0:00,0.05,0.01
3/1/2022,1:00,0.06,0
3/1/2022,2:00,0.05,0.01
3/1/2022,3:00,0.04,0.01
3/1/2022,4:00,0.06,0
3/1/2022,5:00,0.07,0
3/1/2022,6:00,0.06,0
3/1/2022,7:00,0.06,0.01
3/1/2022,8:00,0.07,0
3/1/2022,9:00,0.1,0.01
3/1/2022,10:00,0.08,0.02
