Date,Time,South Brisbane (South East Queensland)  (ppm),Woolloongabba (South East Queensland)  (ppm)
6/8/2022,21:00,0.28,0.16
22/9/2022,18:00,,0.29
22/2/2022,23:00,0.08,0.1
27/5/2022,7:00,0.29,0.18
17/3/2022,21:00,0.14,0.2
26/9/2022,15:00,,0.24
16/11/2022,9:00,0.15,0.08
14/9/2022,10:00,,0.13
19/3/2022,9:00,0.12,0.12
12/8/2022,8:00,0.29,0.17
12/4/2022,17:00,0.13,0.36
29/10/2022,18:00,0.45,0.05
17/1/2022,7:00,0.19,0.15
22/11/2022,0:00,0.15,0.06
2/4/2022,18:00,0.11,0.18
13/8/2022,17:00,0.27,0.21
11/1/2022,14:00,0.12,0.14
4/6/2022,9:00,0.2,0.07
5/11/2022,12:00,0.14,0.14
16/7/2022,2:00,0.4,0.28
31/10/2022,6:00,0.4,0.18
21/5/2022,4:00,0.08,0.02
1/11/2022,17:00,0.33,0.11
10/1/2022,2:00,0.08,0.05
20/10/2022,5:00,0.14,0.2
4/3/2022,18:00,0.16,0.27
13/1/2022,0:00,0.11,0.05
10/10/2022,11:00,0.12,0.19
26/10/2022,21:00,0.26,0.3
24/2/2022,11:00,0.05,0.11
5/6/2022,1:00,0.17,0.07
22/12/2022,11:00,0.15,
23/9/2022,10:00,,0.14
30/8/2022,11:00,0.3,0.2
27/4/2022,1:00,0.17,
8/9/2022,2:00,,0.17
2/8/2022,23:00,0.38,0.37
5/5/2022,17:00,0.25,0.4
13/9/2022,21:00,,0.13
17/5/2022,21:00,0.11,0.15
9/3/2022,20:00,0.22,0.25
22/3/2022,4:00,0.11,0.06
17/5/2022,19:00,0.14,0.16
11/11/2022,20:00,0.22,0.17
8/12/2022,0:00,0.05,0.08
13/9/2022,5:00,,0.05
14/1/2022,19:00,0.11,0.12
28/8/2022,23:00,0.33,0.15
25/2/2022,1:00,0.04,0.05
4/6/2022,7:00,0.31,0.28
13/5/2022,1:00,0.01,0.04
20/4/2022,1:00,0.02,0.05
3/5/2022,19:00,0.2,0.22
15/7/2022,15:00,0.28,0.03
29/12/2022,18:00,0.23,
8/12/2022,12:00,0.06,0.17
4/3/2022,11:00,0.19,0.26
23/5/2022,11:00,0.14,0.13
13/10/2022,16:00,0.11,0.29
3/8/2022,1:00,0.26,0.26
11/3/2022,13:00,0.08,0.18
9/3/2022,19:00,0.28,0.21
13/6/2022,1:00,0.21,0.06
19/1/2022,12:00,0.06,0.19
24/4/2022,5:00,0.09,0.01
6/3/2022,1:00,0.11,0.13
5/2/2022,19:00,0.19,0.14
25/10/2022,7:00,0.36,0.18
8/8/2022,4:00,0.16,0.06
25/5/2022,2:00,0.07,0.01
24/2/2022,12:00,0.04,0.13
4/10/2022,20:00,0.24,0.35
22/5/2022,7:00,0.14,0.07
12/12/2022,12:00,0.04,0.13
13/3/2022,13:00,0.06,0.14
5/6/2022,13:00,0.21,0.18
24/1/2022,22:00,0.07,0.09
5/8/2022,15:00,0.31,0.11
13/5/2022,8:00,0.1,0.22
17/1/2022,2:00,0.06,0.03
23/1/2022,22:00,0.1,0.12
12/6/2022,9:00,0.27,0.05
3/1/2022,19:00,0.13,0.05
21/4/2022,1:00,0.19,0.13
17/3/2022,6:00,0.27,0.11
14/11/2022,12:00,0.1,0.22
10/4/2022,22:00,0.15,0.07
13/7/2022,14:00,0.22,0.02
13/6/2022,10:00,0.27,0.03
22/1/2022,3:00,0.05,0.03
28/1/2022,14:00,0.06,0.22
28/7/2022,21:00,1.17,1.0
14/6/2022,2:00,0.29,0.17
9/6/2022,2:00,0.18,0.05
26/4/2022,8:00,0.41,0.25
16/1/2022,12:00,0.12,0.16
4/1/2022,17:00,0.19,0.1
19/11/2022,21:00,0.08,0.16
8/4/2022,5:00,0.14,0.05
30/1/2022,16:00,0.03,0.17
10/11/2022,2:00,0.14,0.07
21/5/2022,14:00,0.31,0.12
1/3/2022,17:00,0.1,0.22
16/4/2022,17:00,0.17,0.09
21/2/2022,1:00,0.15,0.14
7/2/2022,7:00,0.21,0.1
10/11/2022,1:00,0.15,0.08
1/11/2022,19:00,0.2,0.12
13/4/2022,2:00,0.08,0.07
1/10/2022,15:00,0.11,0.15
20/11/2022,13:00,0.1,0.16
11/9/2022,1:00,,0.03
6/11/2022,5:00,0.14,0.06
11/10/2022,14:00,0.19,0.18
14/4/2022,15:00,0.11,0.25
8/5/2022,19:00,0.17,0.09
8/4/2022,19:00,0.17,0.23
19/11/2022,9:00,0.11,0.09
11/4/2022,18:00,0.16,0.3
22/5/2022,20:00,0.18,0.05
30/10/2022,12:00,0.29,0.04
3/3/2022,11:00,0.17,0.18
26/9/2022,12:00,,0.15
25/12/2022,3:00,0.09,
13/1/2022,23:00,0.15,0.04
20/12/2022,20:00,0.15,
15/2/2022,18:00,0.1,0.26
18/10/2022,21:00,0.1,0.11
8/10/2022,13:00,0.07,0.19
19/6/2022,22:00,0.39,0.24
27/3/2022,12:00,0.04,0.12
10/3/2022,21:00,0.07,0.16
27/6/2022,1:00,0.42,0.33
24/8/2022,1:00,0.07,0.01
2/6/2022,15:00,0.3,0.19
21/8/2022,2:00,0.19,0.1
2/10/2022,6:00,0.12,0.1
4/2/2022,6:00,0.33,0.12
29/10/2022,6:00,0.23,0.09
16/4/2022,9:00,0.12,0.05
15/8/2022,7:00,0.58,0.26
29/7/2022,9:00,0.24,0.1
11/9/2022,14:00,,0.04
17/4/2022,16:00,0.05,0.16
28/7/2022,8:00,0.37,0.18
5/12/2022,17:00,0.23,0.21
21/7/2022,13:00,0.09,0.21
30/5/2022,16:00,0.48,0.62
5/10/2022,13:00,0.17,0.14
26/12/2022,5:00,0.09,
17/10/2022,9:00,0.22,0.15
6/8/2022,3:00,0.04,0.09
4/5/2022,21:00,0.37,0.19
14/2/2022,14:00,0.12,0.23
31/8/2022,13:00,0.09,0.14
10/1/2022,13:00,0.1,0.15
31/1/2022,21:00,0.02,0.14
16/11/2022,13:00,0.18,0.05
28/12/2022,19:00,0.1,
11/1/2022,19:00,0.08,0.17
12/12/2022,23:00,0.1,0.11
26/1/2022,23:00,0.1,0.09
26/12/2022,9:00,0.06,
1/10/2022,9:00,0.16,0.07
4/1/2022,10:00,0.1,0.07
31/8/2022,11:00,0.12,0.12
26/7/2022,6:00,0.43,0.27
21/3/2022,23:00,0.1,0.07
27/1/2022,3:00,0.05,0.06
20/10/2022,3:00,0.05,0.09
6/12/2022,5:00,0.12,0.04
2/4/2022,14:00,0.08,0.13
31/8/2022,22:00,0.32,0.17
7/9/2022,11:00,,0.13
29/1/2022,19:00,0.04,0.16
1/8/2022,16:00,0.41,0.42
16/12/2022,17:00,0.08,0.23
21/12/2022,1:00,0.11,
5/2/2022,18:00,0.15,0.15
9/7/2022,17:00,0.55,0.12
11/6/2022,11:00,0.31,0.05
28/5/2022,16:00,0.33,0.09
20/3/2022,13:00,0.08,0.13
4/11/2022,16:00,0.19,0.26
27/2/2022,5:00,0.04,0.04
24/4/2022,23:00,0.14,0.04
13/8/2022,14:00,0.24,0.09
3/5/2022,13:00,0.13,0.13
25/9/2022,16:00,,0.19
1/3/2022,20:00,0.07,0.13
19/7/2022,17:00,0.27,0.29
29/9/2022,7:00,0.3,0.13
22/5/2022,4:00,0.08,0.02
26/10/2022,7:00,0.33,0.17
31/5/2022,10:00,0.19,0.04
28/6/2022,5:00,0.36,0.08
26/3/2022,5:00,0.14,0.08
3/8/2022,3:00,0.15,0.21
18/12/2022,11:00,0.12,0.09
30/10/2022,5:00,0.28,0.1
29/12/2022,14:00,0.09,
7/7/2022,22:00,0.15,0.05
20/4/2022,5:00,0.22,0.12
3/6/2022,23:00,0.2,0.15
19/2/2022,21:00,0.16,0.2
1/11/2022,10:00,0.12,0.1
1/11/2022,22:00,0.17,0.09
9/10/2022,11:00,0.12,0.14
31/12/2022,0:00,0.13,
12/11/2022,3:00,0.24,0.16
23/8/2022,13:00,0.13,0.13
27/2/2022,11:00,0.12,0.06
10/7/2022,7:00,0.23,0.11
23/12/2022,1:00,0.1,
3/6/2022,15:00,0.32,0.34
15/12/2022,9:00,0.19,0.11
17/11/2022,2:00,0.17,0.02
6/3/2022,9:00,0.15,0.13
17/6/2022,7:00,0.5,0.21
8/12/2022,18:00,0.25,0.23
17/2/2022,4:00,0.16,0.04
22/3/2022,19:00,0.15,0.28
12/8/2022,7:00,0.28,0.18
1/2/2022,7:00,0.2,0.13
27/6/2022,20:00,0.59,0.41
2/9/2022,13:00,0.34,0.21
5/1/2022,7:00,0.2,0.1
13/12/2022,20:00,0.06,0.14
18/10/2022,11:00,0.12,0.11
16/2/2022,18:00,0.12,0.21
25/6/2022,9:00,0.4,0.12
10/9/2022,23:00,,0.03
5/7/2022,22:00,0.23,0.11
28/8/2022,12:00,0.08,0.14
23/6/2022,15:00,0.37,0.24
6/8/2022,0:00,0.14,0.12
2/3/2022,18:00,0.09,0.19
6/1/2022,8:00,0.1,0.19
3/4/2022,18:00,0.08,0.14
9/8/2022,12:00,0.16,0.03
19/11/2022,8:00,0.1,0.11
17/7/2022,13:00,0.17,0.08
30/1/2022,6:00,0.07,0.05
17/9/2022,4:00,,0.22
27/10/2022,1:00,0.19,0.21
5/3/2022,7:00,0.12,0.1
15/6/2022,12:00,0.22,0.06
12/6/2022,21:00,0.28,0.07
19/10/2022,17:00,0.23,0.37
17/6/2022,20:00,0.94,1.25
26/1/2022,17:00,0.08,0.21
3/11/2022,14:00,0.26,0.0
22/12/2022,14:00,0.1,
9/5/2022,7:00,0.37,0.18
2/6/2022,20:00,0.98,0.6
27/6/2022,16:00,0.48,0.26
30/6/2022,11:00,0.29,0.2
8/6/2022,15:00,0.35,0.05
10/5/2022,23:00,0.05,0.06
30/10/2022,2:00,0.31,0.08
9/9/2022,22:00,,0.39
21/9/2022,20:00,,0.31
7/5/2022,18:00,0.23,0.07
29/9/2022,17:00,0.34,0.49
7/8/2022,7:00,0.14,0.05
21/10/2022,4:00,0.05,0.09
15/2/2022,14:00,0.09,0.2
13/11/2022,15:00,0.11,0.15
8/1/2022,9:00,0.13,0.17
11/4/2022,4:00,0.07,0.09
4/5/2022,7:00,0.31,0.13
19/9/2022,13:00,,0.23
9/7/2022,3:00,0.18,0.03
20/7/2022,14:00,0.15,0.27
2/9/2022,20:00,0.33,0.29
6/6/2022,11:00,0.21,0.07
25/5/2022,16:00,0.24,0.44
3/4/2022,19:00,0.07,0.09
16/6/2022,18:00,2.11,1.42
6/10/2022,7:00,0.26,0.25
28/2/2022,3:00,0.02,0.03
8/6/2022,6:00,0.55,0.23
9/4/2022,2:00,0.06,0.03
6/10/2022,11:00,,0.18
14/3/2022,12:00,0.1,0.17
3/10/2022,10:00,0.15,0.13
25/4/2022,15:00,0.09,0.14
31/5/2022,3:00,0.13,0.02
14/4/2022,17:00,0.25,0.34
12/9/2022,17:00,,0.1
25/2/2022,12:00,0.08,0.19
27/8/2022,15:00,0.07,0.16
2/5/2022,12:00,0.1,0.11
30/5/2022,0:00,0.17,0.06
18/4/2022,16:00,0.06,0.15
3/9/2022,8:00,0.15,0.09
5/5/2022,9:00,0.28,0.16
2/3/2022,7:00,0.22,0.11
18/10/2022,12:00,0.11,0.11
23/6/2022,2:00,0.37,0.3
9/11/2022,11:00,0.2,0.13
30/11/2022,3:00,0.02,0.02
11/9/2022,10:00,,0.02
6/7/2022,10:00,0.19,0.08
9/7/2022,8:00,0.22,0.02
16/6/2022,3:00,0.32,0.17
18/5/2022,10:00,0.2,0.11
30/7/2022,2:00,0.24,0.18
2/11/2022,14:00,0.3,0.02
19/3/2022,6:00,0.17,0.09
20/7/2022,4:00,0.1,0.08
4/9/2022,2:00,0.06,0.02
3/10/2022,3:00,0.13,0.12
18/4/2022,2:00,0.09,0.07
5/11/2022,23:00,0.26,0.19
28/3/2022,1:00,0.05,0.08
21/4/2022,6:00,0.3,0.13
19/4/2022,1:00,0.2,0.16
31/7/2022,18:00,0.15,0.18
1/3/2022,16:00,0.08,0.21
1/4/2022,19:00,0.15,0.23
11/5/2022,15:00,0.1,0.23
7/1/2022,17:00,0.09,0.18
23/3/2022,22:00,0.11,0.13
18/12/2022,3:00,0.13,0.06
16/9/2022,21:00,,0.24
12/3/2022,6:00,0.1,0.07
18/3/2022,16:00,0.1,0.35
24/8/2022,17:00,0.32,0.03
11/11/2022,4:00,0.21,0.12
27/11/2022,7:00,0.04,0.12
25/2/2022,2:00,0.04,0.03
23/3/2022,23:00,0.06,0.08
13/4/2022,4:00,0.1,0.11
10/10/2022,17:00,0.21,0.32
14/12/2022,4:00,0.09,0.14
23/11/2022,1:00,0.08,0.07
1/1/2022,21:00,0.19,0.13
22/5/2022,23:00,0.11,0.03
22/1/2022,12:00,0.13,0.1
8/3/2022,3:00,0.07,0.07
9/2/2022,5:00,0.23,0.09
28/9/2022,16:00,0.16,0.45
22/7/2022,22:00,0.15,0.09
29/4/2022,20:00,0.14,0.23
20/3/2022,7:00,0.08,0.04
31/3/2022,4:00,0.07,0.12
17/7/2022,4:00,0.26,0.21
8/7/2022,1:00,0.08,0.03
19/5/2022,19:00,0.15,0.25
19/8/2022,14:00,0.24,0.03
23/9/2022,8:00,,0.17
5/4/2022,7:00,0.27,0.16
23/3/2022,12:00,0.13,0.08
15/11/2022,3:00,,0.17
9/4/2022,1:00,0.05,0.04
13/2/2022,9:00,0.09,0.08
3/4/2022,9:00,0.09,0.12
27/6/2022,10:00,0.33,0.11
14/3/2022,1:00,0.09,0.07
22/7/2022,4:00,0.01,0.08
28/11/2022,22:00,0.05,0.19
14/5/2022,4:00,0.01,0.06
21/11/2022,9:00,0.15,0.06
20/12/2022,8:00,0.22,0.08
13/4/2022,15:00,0.08,0.26
27/1/2022,18:00,0.13,0.21
13/9/2022,22:00,,0.14
17/5/2022,23:00,0.12,0.08
20/7/2022,22:00,0.22,0.13
24/5/2022,16:00,0.27,0.37
6/1/2022,10:00,0.08,0.16
2/6/2022,23:00,0.44,0.34
17/11/2022,20:00,0.2,0.2
4/10/2022,22:00,0.31,0.45
9/2/2022,10:00,0.12,0.08
17/12/2022,7:00,0.14,0.1
30/8/2022,9:00,0.36,0.3
24/8/2022,6:00,0.19,0.02
30/10/2022,4:00,0.31,0.11
9/10/2022,9:00,0.07,0.16
30/12/2022,1:00,0.05,
29/10/2022,14:00,0.33,0.0
20/4/2022,4:00,0.09,0.12
13/1/2022,19:00,0.1,0.11
16/6/2022,7:00,0.42,0.24
3/12/2022,2:00,0.09,0.01
29/9/2022,22:00,0.46,0.28
20/8/2022,9:00,0.19,0.02
26/11/2022,18:00,0.06,0.23
30/3/2022,4:00,0.04,0.03
10/11/2022,12:00,0.2,0.15
8/6/2022,19:00,0.29,0.06
27/12/2022,21:00,0.11,
30/9/2022,19:00,0.17,0.26
20/10/2022,13:00,0.14,0.16
21/11/2022,21:00,0.36,0.05
4/1/2022,2:00,0.05,0.01
28/11/2022,19:00,0.1,0.22
14/8/2022,8:00,0.17,0.25
9/11/2022,15:00,0.2,0.22
14/12/2022,19:00,0.26,0.19
25/3/2022,3:00,0.11,0.09
8/7/2022,3:00,0.08,0.01
12/12/2022,0:00,0.05,0.05
2/7/2022,1:00,0.17,0.11
2/4/2022,4:00,0.21,0.16
11/5/2022,3:00,0.02,0.04
2/12/2022,12:00,0.14,0.12
29/7/2022,7:00,0.38,0.17
19/5/2022,23:00,0.19,0.1
20/5/2022,3:00,0.09,0.03
10/10/2022,1:00,0.05,0.07
