column,trans
Seq,id
zspec,z_spec
F8_0,F21
e_F8_0,E21
F5_8,F20
e_F5_8,E20
F4_5,F19
e_F4_5,E19
F3_6,F18
e_F3_6,E18
FKs,F255
e_FKs,E255
FKsHI,F269
e_FKsHI,E269
FJ1,F249
e_FJ1,E249
FJ2,F250
e_FJ2,E250
FJ3,F251
e_FJ3,E251
FHs,F254
e_FHs,E254
FHl,F253
e_FHl,E253
FU,F103
e_FU,E103
FB,F1
e_FB,E1
FV,F4
e_FV,E4
FR,F260
e_FR,E260
FI,F5
e_FI,E5
FZ,F7
e_FZ,E7
F125W,F203
e_F125W,E203
F140W,F204
e_F140W,E204
F160W,F205
e_F160W,E205
F098M,F201
e_F098M,E201
F105W,F202
e_F105W,E202
F814W,F239
e_F814W,E239
IA484,F184
e_IA484,E184
IA527,F186
e_IA527,E186
IA574,F188
e_IA574,E188
IA598,F189
e_IA598,E189
IA624,F190
e_IA624,E190
IA651,F191
e_IA651,E191
IA679,F192
e_IA679,E192
IA738,F194
e_IA738,E194
IA767,F195
e_IA767,E195
IA797,F196
e_IA797,E196
IA856,F198
e_IA856,E198
FVWFI,F291
e_FVWFI,E291
FRcWFI,F292
e_FRcWFI,E292
FU38,F107
e_FU38,E107
FKT,F222
e_FKT,E222
FKsall,F33
e_FKsall,E33
