column,trans
Seq,id
zspec,z_spec
F8_0,F21
e_F8_0,E21
F5_8,F20
e_F5_8,E20
F4_5,F19
e_F4_5,E19
F3_6,F18
e_F3_6,E18
FKs,F255
e_FKs,E255
FJ1,F249
e_FJ1,E249
FJ2,F250
e_FJ2,E250
FJ3,F251
e_FJ3,E251
FHs,F254
e_FHs,E254
FHl,F253
e_FHl,E253
FZp,F83
e_FZp,E83
FZ,F92
e_FZ,E92
FI,F91
e_FI,E91
FRp,F81
e_FRp,E81
FR,F90
e_FR,E90
FG,F89
e_FG,E89
FV,F79
e_FV,E79
FB,F78
e_FB,E78
FU,F88
e_FU,E88
FIA427,F181
e_FIA427,E181
FIA484,F184
e_FIA484,E184
FIA505,F185
e_FIA505,E185
FIA527,F186
e_FIA527,E186
FIA624,F190
e_FIA624,E190
FIA709,F193
e_FIA709,E193
FIA738,F194
e_FIA738,E194
F125W,F203
e_F125W,E203
F160W,F205
e_F160W,E205
F140W,F204
e_F140W,E204
F606W,F236
e_F606W,E236
F814W,F239
e_F814W,E239
FUVISTAR_J,F257
e_FUVISTAR_J,E257
FUVISTAR_H,F258
e_FUVISTAR_H,E258
FUVISTAR_Ks,F259
e_FUVISTAR_Ks,E259
FUVISTAR_Y,F256
e_FUVISTAR_Y,E256
FKsall,F33
e_FKsall,E33
